title,category,size,descriptionFirst,descriptionSecond
Нео Latex,Серия Нео,Высота матраца 15 см,Рекомендуется для людей весом до 120 кг Высота матраца 18 см Гарантия 3 года,"Беспружинный матрац разносторонней жесткости на основе эластичной пены Aerolat с применением с одной стороны латекса — уникального материала из вспененного сока каучукового дерева гевея — эластичного, антибактериального, терморегулирующего, обеспечивающего свободное кровообращение во время сна. Поставляется в вакуумной упаковке"
Нео Cocos,Серия Нео,Высота матраца 15 см,Рекомендуется для людей весом до 150 кг Высота матраца 19 см Гарантия 3 года,Беспружинный матрац разносторонней жесткости многослойной конструкции на основе эластичной пены Aerolat и кокосовой койры. Обладает высокой жесткостью и эластичностью.
Нео Cocos Memory,Серия Нео,Высота матраца 15 см,Рекомендуется для людей весом до 150 кг Высота матраца 19 см Гарантия 3 года,"Беспружинный матрац разносторонней жесткости многослойной конструкции на основе эластичной пены Aerolat, кокосовой койры и инновационного материала Memory Foam, обладающего уникальными свойствами точно принимать форму тела лежащего человека. Обладает высокой жесткостью и эластичностью."
Нео Cocos Latex,Серия Нео,Высота матраца 15 см,Рекомендуется для людей весом до 150 кг Высота матраца 20 см Гарантия 3 года,"Беспружинный матрац разносторонней жесткости многослойной конструкции на основе кокосовой койры и латекса — уникального материала из вспененного сока каучукового дерева гевея — эластичного, антибактериального, терморегулирующего, обеспечивающего свободное кровообращение во время сна. Обладает высокой жесткостью и эластичностью."
Чемпион Trend,Серия Чемпион,Высота матраца 22 см,Рекомендуется для людей весом до 120 кг Высота матраца 22 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,"Двусторонний пружинный матрац с ортопедическим и анатомическим эффектом на основе блока независимых пружин Pocket Spring с применением с двух сторон кокосовой койры, придающей матрацу дополнительную жесткость, обладающей отличными терморегулирующими и антибактериальными свойствами."
Чемпион Trend HARD,Серия Чемпион,Высота матраца 22 см,Рекомендуется для людей весом до 140 кг Высота матраца 22 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,Двусторонний пружинный матрац с ортопедическим и анатомическим эффектом на основе блока независимых пружин Pocket Spring с применением с двух сторон кокосовой койры высотой 3 см. Обладает высокой жесткостью.
Чемпион Lux,Серия Чемпион,Высота матраца 22 см,Рекомендуется для людей весом до 120 кг Высота матраца 20 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,Двусторонний пружинный матрац с ортопедическим и анатомическим эффектом на основе блока независимых пружин Pocket Spring. Примененный в наполнении ячеистый пенополиуретан придает матрацу требуемую упругость и эластичность.
Чемпион Trend 1,Серия Чемпион,Высота матраца 22 см,Рекомендуется для людей весом до 120 кг Высота матраца 21 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,"Пружинный матрац разносторонней жесткости с ортопедическим и анатомическим эффектом на основе блока независимых пружин Pocket Spring с применением с одной стороны кокосовой койры, придающей матрацу дополнительную жесткость, обладающей отличными терморегулирующими и антибактериальными свойствами."
Чемпион FORTE,Серия Чемпион,Высота матраца 22 см,Рекомендуется для людей весом до 120 кг Высота матраца 18 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,Двусторонний экономичный пружинный матрац с ортопедическим эффектом на основе усиленного пружинного блока. Матрац повышенной жесткости.
Чемпион Cocos FORTE,Серия Чемпион,Высота матраца 22 см,Рекомендуется для людей весом до 130 кг Высота матраца 20 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,Двусторонний жесткий пружинный матрац с ортопедическим эффектом с применением с двух сторон кокосовой койры на основе усиленного пружинного блока. Обладает высокой жесткостью.
Чемпион Cocos,Серия Чемпион,Высота матраца 22 см,Рекомендуется для людей весом до 120 кг Высота матраца 20 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,"Двусторонний экономичный пружинный матрац с ортопедическим эффектом с применением с двух сторон кокосовой койры, придающей матрацу дополнительную жесткость, обладающей отличными терморегулирующими и антибактериальными свойствами."
Чемпион Cocos 1,Серия Чемпион,Высота матраца 22 см,Рекомендуется для людей весом до 120 кг Высота матраца 19 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,"Экономичный пружинный матрац разносторонней жесткости с ортопедическим эффектом с применением с одной стороны кокосовой койры, придающей матрацу дополнительную жесткость, обладающей отличными терморегулирующими и антибактериальными свойствами."
Чемпион,Серия Чемпион,Высота матраца 22 см,Рекомендуется для людей весом до 80 кг Высота матраца 16 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,Надежный односторонний матрац упрощенной конструкции с ортопедическим эффектом.
Чемпион,Серия Чемпион,Высота матраца 22 см,Рекомендуется для людей весом до 100 кг Высота матраца 18 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,Двусторонний экономичный пружинный матрац с ортопедическим эффектом.
Топпер Aerolat,Топперы,Высота матраца 5 см,Высота матраца 5 см Гарантия 3 года,
Топпер Latex,Топперы,Высота матраца 5 см,Высота матраца 5 см Гарантия 3 года,
Топпер Memory,Топперы,Высота матраца 5 см,Высота матраца 5 см Гарантия 3 года,
